typology,typology_ko,sido_count,youth_net_sum,total_net_sum,sidos
Early Career Magnet,초입 유입·후기 유출형,1,17207,-26769,서울
Dual Magnet,청년 유입형,5,39746,78800,"경기, 인천, 충북, 대전, 세종"
Family Settle,후기 정착형,5,-18235,-7723,"충남, 울산, 전남, 대구, 경남"
Youth Outflow,청년 유출형,6,-38718,-44308,"제주, 강원, 전북, 부산, 광주, 경북"
