year,gender,destination,origin,movers,is_intra,source_sheet,source_row_number,origin_capital,destination_capital,flow_block
2025,all,광주,세종,444,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,경기,6806,False,6.전입출지별(이동자),10,True,False,capital_to_noncapital
2025,all,광주,강원,668,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,충북,702,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,충남,1375,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,전북,5196,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,전남,24714,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,경북,800,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,경남,1231,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,광주,제주,862,False,6.전입출지별(이동자),10,False,False,noncapital_to_noncapital
2025,all,대전,서울,11229,False,6.전입출지별(이동자),11,True,False,capital_to_noncapital
2025,all,대전,부산,2318,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,대구,2273,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,인천,2455,False,6.전입출지별(이동자),11,True,False,capital_to_noncapital
2025,all,대전,광주,1701,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,울산,903,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,세종,7201,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,경기,13987,False,6.전입출지별(이동자),11,True,False,capital_to_noncapital
2025,all,대전,강원,2319,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,충북,7903,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,충남,13961,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,전북,4531,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,전남,1847,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,경북,3707,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,경남,2848,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,대전,제주,829,False,6.전입출지별(이동자),11,False,False,noncapital_to_noncapital
2025,all,울산,서울,4033,False,6.전입출지별(이동자),12,True,False,capital_to_noncapital
2025,all,울산,부산,8841,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,대구,3019,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,인천,960,False,6.전입출지별(이동자),12,True,False,capital_to_noncapital
2025,all,울산,광주,381,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,대전,758,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
