kpi,value,unit,sido
Total movers 2025,6117784,persons,
YoY change in total movers 2025,-2.6,percent,
"Youth movers 20-39, 2025",2761243,persons,
Youth share of movers 2025,0.45134692561881884,share,
Inter-sido movers 2025,2185913,persons,
Capital net vs non-capital 2025,38465,persons,
"Youth 20-39 net, top inflow sido",21053,persons,경기
Seoul youth 20-39 net 2025,17207,persons,
Youth age bands used,20-24+25-29+30-34+35-39,definition,
